client_uuid,loan_uuid,contract_date,initial_loan_amount,loan_end_date,original_loan_end_date,current_principal_outstanding,days_past_due,segment
838,1,2019-01-28,126254,2024-01-28,2024-01-28,81379.15,0,
1236,2,2019-07-08,1296501,2021-01-08,2021-01-08,691548.55,0,Standard
1473,3,2023-06-14,2027625,2026-09-12,2026-06-14,893414.01,0, subprime
1632,4,2020-06-07,1132874,2023-06-07,2023-06-07,799483.43,124,High Risk
1813,5,2022-04-11,91268,2023-10-11,2023-10-11,76592.24,0, subprime
1643,6,2019-11-06,548271,2022-11-06,2022-11-06,198347.03,0,Prime
1025,7,2021-12-15,265870,2026-12-15,2026-12-15,151065.8,0,Standard
559,8,2023-02-08,4408574,2024-11-06,2024-08-08,1145178.55,0,Prime
923,9,2021-10-03,3110278,2025-10-03,2025-10-03,2551545.64,310,N/A
142,10,2022-11-22,2256947,2027-02-20,2026-11-22,2121804.54,0,Standard
1417,11,2023-09-19,913572,2025-06-17,2025-03-19,802115.89,0,Standard
1047,12,2021-01-25,370858,2022-01-25,2022-01-25,324792.11,0,Standard
383,13,2020-06-22,261477,2023-06-22,2023-06-22,66060.65,0,Unknown
429,14,2023-09-01,452301,2025-03-01,2025-03-01,205848.41,0,N/A
1502,15,2022-12-12,393086,2024-09-10,2024-06-12,158380.01,0,Prime
537,16,2022-11-04,701858,2024-11-04,2024-11-04,175260.92,0,high risk 
333,17,2023-02-15,8322457,2026-02-15,2026-02-15,4827084.47,0,Standard
1517,18,2021-10-22,11883158,2023-04-22,2023-04-22,10913563.74,0,Standard
1245,19,2023-03-22,12612694,2025-06-20,2025-03-22,7194682.03,0,Standard
309,20,2021-12-06,4347912,2026-03-06,2025-12-06,2600479.36,0,prime
1693,21,2022-01-31,475839,2024-01-31,2024-01-31,259733.95,0,Standard
180,22,2023-03-21,11341262,2025-06-19,2025-03-21,6357379.12,0,prime
716,23,2020-07-04,601310,2021-07-04,2021-07-04,449440.84,329,High Risk
905,24,2022-07-24,569146,2024-10-22,2024-07-24,469920.71,0,Standard
1029,25,2022-02-03,507788,2024-02-03,2024-02-03,363599.28,273,High Risk
879,26,2019-04-03,2396473,2023-04-03,2023-04-03,1545582.93,0,Standard
1846,27,2022-12-20,202838,2025-12-20,2025-12-20,87372.07,0,Prime
887,28,2019-06-04,4052782,2022-06-04,2022-06-04,3526109.16,0,Standard
318,29,2019-04-24,892092,2020-10-24,2020-10-24,243574.64,0,N/A
1670,30,2021-08-25,385243,2026-08-25,2026-08-25,279651.3,163,High Risk
1559,31,2022-10-01,2935759,2024-10-01,2024-10-01,822869.37,0,Prime
765,32,2019-02-17,85191,2020-02-17,2020-02-17,43154.15,71,Subprime
1235,33,2021-04-11,57750,2025-04-11,2025-04-11,34582.44,0,Standard
1671,34,2022-11-15,4389986,2023-11-15,2023-11-15,1657930.82,0,N/A
548,35,2020-09-24,107148,2025-09-24,2025-09-24,22703.37,203,High Risk
1648,36,2019-01-08,3836095,2020-07-08,2020-07-08,1176744.24,0,Prime
68,37,2021-01-05,55436,2022-04-05,2022-01-05,12536.46,0,Prime
1536,38,2021-08-27,797577,2026-08-27,2026-08-27,457827.59,0,STANDARD
1500,39,2022-02-19,12381351,2023-08-19,2023-08-19,7841876.28,0,Standard
667,40,2023-12-28,171317,2026-03-28,2025-12-28,91991.88,0,Standard
56,41,2022-09-08,3531186,2025-09-08,2025-09-08,3060052.5,0,Standard
1864,42,2020-08-11,573812,2022-02-11,2022-02-11,508849.11,308,High Risk
506,43,2022-07-29,813676,2027-07-29,2027-07-29,613456.04,117,High Risk
959,44,2021-05-12,781342,2023-08-10,2023-05-12,471161.81,0,high risk 
953,45,2020-05-26,127138,2021-05-26,2021-05-26,118356,0,Standard
287,46,2021-01-06,560755,2026-01-06,2026-01-06,407215.98,0,Standard
1221,47,2021-12-11,2559931,2023-06-11,2023-06-11,1636147.39,0,Standard
1959,48,2023-12-30,163105,2028-12-30,2028-12-30,80710.11,0,Prime
1941,49,2021-04-04,1118226,2026-04-04,2026-04-04,960111.49,0,Standard
1793,50,2022-05-25,675095,2024-05-25,2024-05-25,472221.98,0,Standard
1398,51,2021-10-21,16898217,2023-04-21,2023-04-21,6953664.38,93,High Risk
1269,52,2019-04-13,199598,2022-04-13,2022-04-13,61220.29,0,Prime
1313,53,2021-04-04,3240774,2025-04-04,2025-04-04,3228178.01,24,high risk 
1402,54,2020-10-21,124925,2024-01-19,2023-10-21,43922.31,0, subprime
297,55,2021-05-20,757122,2022-11-20,2022-11-20,447383.29,0,Standard
989,56,2022-08-16,1387094,2026-08-16,2026-08-16,555092.41,0, subprime
14,57,2020-06-12,133715,2021-06-12,2021-06-12,51102.05,0,prime
1302,58,2021-06-06,676290,2026-09-04,2026-06-06,563851.06,61,Subprime
1998,59,2019-10-06,617291,2023-10-06,2023-10-06,483000.52,0,prime
868,60,2019-08-14,215518,2022-08-14,2022-08-14,80186.84,0,
1666,61,2022-08-23,9095835,2025-08-23,2025-08-23,7916177.69,0,Unknown
972,62,2020-09-28,7333786,2022-03-28,2022-03-28,2412256.32,0,Prime
290,63,2023-03-25,469396,2028-03-25,2028-03-25,207161.72,0,Prime
343,64,2023-09-26,459244,2024-12-25,2024-09-26,173659.21,0,Prime
1842,65,2020-05-28,384934,2024-05-28,2024-05-28,339176.18,210,High Risk
279,66,2019-05-19,423013,2021-05-19,2021-05-19,216510.47,0,prime
1366,67,2020-04-11,877014,2024-07-10,2024-04-11,429253.62,0,Prime
589,68,2022-05-09,4071275,2023-11-09,2023-11-09,3987891.32,0,
70,69,2022-10-06,11547691,2027-10-06,2027-10-06,8539242.43,49,Subprime
392,70,2020-04-27,13980416,2025-04-27,2025-04-27,5659064.42,0,prime
700,71,2021-01-18,530842,2024-01-18,2024-01-18,224240.79,0,Prime
611,72,2023-08-12,91793,2026-08-12,2026-08-12,86309.45,0,Standard
1597,73,2022-12-09,2868614,2026-03-09,2025-12-09,1379151.18,359,High Risk
1383,74,2020-11-20,443737,2024-11-20,2024-11-20,223284.62,0,Standard
438,75,2023-07-10,9917043,2024-07-10,2024-07-10,7403567.03,0,STANDARD
1279,76,2023-06-28,14984439,2026-09-26,2026-06-28,13538838.77,0,STANDARD
96,77,2021-11-07,542762,2023-11-07,2023-11-07,405753.93,53,Subprime
1288,78,2023-01-06,151644,2028-01-06,2028-01-06,141227.97,0,Standard
1415,79,2019-12-25,5461508,2022-12-25,2022-12-25,1247668.89,0,Prime
1398,80,2019-07-11,11575163,2023-07-11,2023-07-11,10658696.54,0,Unknown
849,81,2020-02-08,4303639,2023-02-08,2023-02-08,3191483.04,0,Standard
900,82,2021-07-14,65712,2023-07-14,2023-07-14,51092.02,57,STANDARD
1997,83,2020-06-05,645532,2021-12-05,2021-12-05,533583.19,0,Standard
15,84,2023-06-18,1494492,2027-09-16,2027-06-18,906237.04,0,N/A
1898,85,2021-09-05,192922,2022-09-05,2022-09-05,119358.71,140,High Risk
1016,86,2022-11-10,541305,2024-11-10,2024-11-10,364664.12,220,STANDARD
1269,87,2020-08-27,130078,2021-08-27,2021-08-27,55382.88,0,Prime
1324,88,2021-02-25,798056,2026-02-25,2026-02-25,356637.45,135,N/A
1060,89,2020-04-23,53973,2022-04-23,2022-04-23,32071.1,195,High Risk
679,90,2023-09-01,323304,2025-05-30,2025-03-01,114885.98,0,Prime
747,91,2019-09-23,79504,2020-09-23,2020-09-23,72720.88,0,Standard
35,92,2020-07-26,227663,2022-01-26,2022-01-26,46334.78,0,Prime
1577,93,2021-11-23,2479165,2025-11-23,2025-11-23,526094.43,163,High Risk
480,94,2019-11-27,4188353,2021-05-27,2021-05-27,3007622.53,0,high risk 
667,95,2022-04-13,442431,2023-07-12,2023-04-13,116388.58,0,Prime
1892,96,2022-08-03,1057858,2025-08-03,2025-08-03,430846.25,321,High Risk
1639,97,2021-12-16,849266,2025-12-16,2025-12-16,776020.22,0,Standard
1843,98,2022-04-15,823542,2023-04-15,2023-04-15,378937.5,96,STANDARD
1928,99,2021-01-08,10422411,2025-01-08,2025-01-08,6163741.31,0,
1290,100,2021-03-28,904992,2022-03-28,2022-03-28,833675.15,0,Standard
543,101,2023-04-05,887033,2024-04-05,2024-04-05,524691.53,0,
780,102,2019-11-14,17716774,2021-05-14,2021-05-14,6419573.32,9,Standard
1153,103,2022-07-26,678481,2024-01-26,2024-01-26,147047.46,0,Prime
1348,104,2021-07-26,9988678,2023-07-26,2023-07-26,5427057.23,0,Standard
909,105,2020-03-07,1175925,2022-03-07,2022-03-07,639996.16,361,High Risk
1362,106,2023-08-12,1145236,2024-08-12,2024-08-12,477948.12,0,Prime
1862,107,2020-01-11,111434,2025-01-11,2025-01-11,65678.3,249,High Risk
1128,108,2021-07-10,512850,2022-07-10,2022-07-10,306391.21,184,High Risk
889,109,2023-06-05,480601,2024-12-05,2024-12-05,350214.39,66,high risk 
652,110,2019-11-12,120198,2022-11-12,2022-11-12,57762.44,0,high risk 
1190,111,2023-11-05,47072,2025-05-05,2025-05-05,23330.78,0,high risk 
1906,112,2019-08-07,657963,2022-08-07,2022-08-07,478303.09,0,Standard
969,113,2020-11-10,1244264,2025-11-10,2025-11-10,325582.86,355,prime
463,114,2022-09-29,1783845,2025-09-29,2025-09-29,608693.39,216,High Risk
746,115,2020-02-29,17570903,2021-02-28,2021-02-28,10033538.19,0,Standard
1192,116,2021-12-03,2803513,2024-12-03,2024-12-03,721323.17,0,Prime
916,117,2020-07-26,422355,2022-04-26,2022-01-26,187376.17,0,Prime
1625,118,2022-03-11,435648,2026-03-11,2026-03-11,273529.01,0,Standard
1254,119,2023-02-13,1092500,2027-05-14,2027-02-13,943162.17,168,High Risk
833,120,2019-07-05,823469,2020-07-05,2020-07-05,692746.84,0,Standard
1994,121,2021-09-06,377214,2023-09-06,2023-09-06,149859.54,0,Prime
1262,122,2023-02-03,1976890,2026-02-03,2026-02-03,1848778.63,0,Standard
1316,123,2021-03-05,649223,2025-06-03,2025-03-05,528693.02,75,Subprime
1401,124,2023-06-07,266957,2028-06-07,2028-06-07,235519.21,0,Standard
1460,125,2019-04-14,1168396,2020-04-14,2020-04-14,500163.26,0,
1081,126,2019-04-11,377830,2020-04-11,2020-04-11,300993.2,0,Standard
1307,127,2021-12-02,10899057,2025-12-02,2025-12-02,8563289.14,0,Standard
127,128,2019-05-08,561289,2020-11-08,2020-11-08,243690.22,0,N/A
798,129,2022-05-23,11159141,2023-11-23,2023-11-23,8868618.53,0,prime
195,130,2021-08-07,381945,2026-08-07,2026-08-07,181878.39,115,High Risk
1399,131,2023-06-26,8734692,2025-06-26,2025-06-26,4648573.47,0,Standard
1013,132,2021-10-08,759396,2024-10-08,2024-10-08,714467.13,0,
1434,133,2020-10-20,3194703,2023-10-20,2023-10-20,2121296.99,0,Standard
955,134,2022-10-17,51082,2024-04-17,2024-04-17,25212.83,0,Prime
1398,135,2021-02-17,14204581,2025-02-17,2025-02-17,9819490.44,0,STANDARD
1914,136,2021-09-24,556784,2022-12-23,2022-09-24,526436.77,113,High Risk
845,137,2021-04-13,556162,2022-10-13,2022-10-13,450705.81,0,Standard
786,138,2021-05-05,1332074,2022-05-05,2022-05-05,539180.41,0,Prime
989,139,2019-10-04,3817247,2023-10-04,2023-10-04,1608832.95,0,N/A
646,140,2019-07-19,13278930,2023-07-19,2023-07-19,8438116.8,3,Standard
678,141,2023-12-22,4700690,2027-03-22,2026-12-22,2903558.29,0,Standard
1992,142,2020-09-20,279820,2025-09-20,2025-09-20,271439.98,178,N/A
367,143,2021-11-28,1330582,2023-11-28,2023-11-28,963752.3,7,Standard
655,144,2020-06-09,251512,2023-06-09,2023-06-09,163948.55,97,High Risk
549,145,2021-10-09,2701893,2025-10-09,2025-10-09,902192.21,112,High Risk
1145,146,2019-08-23,599545,2023-08-23,2023-08-23,482921.19,0,
1821,147,2020-09-27,62853,2022-06-25,2022-03-27,23901.33,148,High Risk
1950,148,2022-04-28,461263,2024-07-27,2024-04-28,137772.24,0,Prime
765,149,2021-04-07,71629,2024-04-07,2024-04-07,56226.25,0,Standard
122,150,2020-09-06,2864620,2023-09-06,2023-09-06,600731.28,20,Standard
1850,151,2023-06-24,47120,2024-12-24,2024-12-24,23499.1,0,Unknown
78,152,2020-03-05,291437,2021-03-05,2021-03-05,174625.61,0,Standard
622,153,2019-02-05,139821,2022-02-05,2022-02-05,101844.48,0,Standard
