client_uuid,company_size,industry,subindustry,company_type,segment,country,province,city,annual_revenue,employee_count,year_established
VSHHZZW,Micro  (<10),Automotive,Auto Accessories,NULL,Segment 2,Philippines,Davao Oriental,Manay,5514155,7.0,1994
69NN831,,  Media,Digital Media,Sole_Proprietorship,Segment 5,philippines,  Cagayan,Baggao,12625039,24.0,2004
QZD33VK,Micro  (<10),beauty & wellness,Wellness Coaching,Partnership,Segment 3,Philippines,Cebu,Toledo,4474719,7.600520631541821,2005
IV5EWE5,Micro_(<10),  Security,Cyber_Security,Cooperative,Segment 2,Philippines,pangasinan,  Calasiao,1176688,3.36491719133132,2007
5I5T16D,Medium_(50-249),Retail,Electronics Retail,Cooperative,Segment 1,  Philippines,Sultan Kudarat,lambayong,36538047,55.859418484996496,2018
UZUYAFW,MICRO (<10),Real Estate,Residential  Sales,Cooperativ,Segment 1,Philippines,Basilan,Maluso,1763390,2.0,2012
SWSYPIA,Micro (<10,  Manufacturing,Food Manufacturing,CORPORATION,Segment 1,PHILIPPINES,davao del norte,Samal,4742399,8.0,2013
WUW2NZE,small (10-49),  Beauty & Wellness,wellness centers,Cooperative,Segment 4,Philippines,Eastern Samar,  Guiuan,10171954,26.344837732983017,2004
1CKNZU3,Medium (50-249,Automotive,Vehicle Maintenance,LLC,Segment 3,  Philippines,Batangas,Tanauan,147550369,186.30451127503628,2008
N27RG24,micro (<10),Telecommunications,VOICE SERVICES,  Corporation,Segment 3,  Philippines,Iloilo,badiangan,673364,2.0,1993
P7WXMRM,N/A,Real Estate,RESIDENTIAL SALES,Sole  Proprietorship,Segment 1,  Philippines,Sulu,KALINGALAN CALUANG,28498190,26.338452960936003,2002
NWYOVCS,Micro (<10),  Agriculture,Corn Production,Cooperative,Segment 5,Philippines,Compostela Valley,Compostela,2929304,4.0,1985
PWPN2Z8,Small (10-49),Furniture,Custom Furniture,Partnership,Segment 4,Philippines,La_Union,Aringay,21531482,32.0,2011
Q3KUUR2,Micro (<10),,  Coal Mining,Corporation,Segment 1,Philippines,Capiz,panitan,4852765,4.0,1997
H21FPTP,Micro (<10),TELECOMMUNICATIONS,Broadband Services,Sole Proprietorship,Segment 1,philippines,Pampanga,guagua,3796413,7.0,1999
EKOCEWI,Micro (<10),N/A,aircraft sales,Partnershi,Segment 1,PHILIPPINES,la union,Aringay,3370040,5.0,1990
UVU3TXW,Small_(10-49),Manufacturin,Metal Fabrication,Corporation,Segment 1,Philippines,Pampanga,Guagua,20318217,31.513767542154824,1985
SR3SWPA,Micro (<10,N/A,Automotive  Retail,Partnership,Segment 2,Philippines,Tarlac,la paz,1512800,2.0,1984
0MWP3DP,micro (<10),finance,BOOKKEEPING,LLC,Segment 2,Philippines,Eastern Samar,can-avid,3607237,5.333354760577269,2012
PLE7A5Z,  Small (10-49),Agriculture,Coffee Production,llc,Segment 1,PHILIPPINES,Cagayan,Claveria,20961640,35.0,2017
GD7BEJ5,Medium  (50-249),Mining,Sand & Gravel,LLC,Segment 3,Philippines,Davao del Norte,San Isidro,127870406,187.15946768710884,2006
7UWFMWI,Small (10-49),Entertainment,Film Production,Partnership,Segment 1,Philippines,cagayan,Aparri,20128913,29.0,2006
2RH47G9,Small (10-49),  Water,water services,Partnership,Segment 1,PHILIPPINES,ALBAY,daraga,13317240,17.0,2014
CL2QGMB,NULL,Healthcar,Veterinary Services,PARTNERSHIP,Segment 2,philippines,Laguna,Calauan,5305280,6.0,2011
P8CEZKG,Micro  (<10),Automotive,NULL,CORPORATION,Segment 2,Philippines,Pangasinan,Mangaldan,3137557,7.0,1985
030ZGEW,Small (10-49),NULL,  Custom Tailoring,Cooperative,Segment 3,Philippines,Bohol,Alburquerque,18702885,28.0,2008
ZZHEOPA,Small (10-49),Agricultur,Fruit Production,Partnershi,Segment 1,Philippines,Isabela,Angadanan,11539415,22.655090529500587,2000
BYI0AWJ,  Micro (<10),  Logistics,Cold Chain Logistics,Cooperative,Segment 2,Philippines,Davao del Norte,Asuncion,3536269,6.6252501619197215,1985
G5DT951,Micro_(<10),Pharmaceutical,,Partnership,Segment 2,Philippines,ilocos norte,Laoag,2807047,6.0,2004
8EQ5JQE,Micro (<10),Hospitalit,  Hotels & Lodging,Cooperative,Segment 1,philippines,south cotabato,Tantangan,2951370,4.0,2008
WIB4B5R,Small (10-49),Securit,access control,Sole Proprietorship,Segment 3,Philippines,Ilocos Norte,Dingras,22998407,34.0,2009
1EZEVOM,Micro (<10),real estate,Residential Sales,Partnership,Segment 1,Philippines,  Bohol,Tagbilaran,1206384,2.0,2009
3DEA012,Micro (<10,retail,Automotive_Retail,sole proprietorship,Segment 1,  Philippines,Albay,Libon,3957559,8.219927402597712,2015
X46314K,NULL,retail,Department Stores,Partnershi,Segment 4,Philippines,antique,pandan,32281652,51.31015638160155,2000
IWM5O9E,Medium (50-249),Finance,Accounting Services,Cooperative,Segment 5,Philippines,  Aklan,Libacao,228788927,195.29477363525342,2005
