client_uuid,loan_uuid,loan_type,contract_date,initial_loan_amount,loan_end_date,original_loan_end_date,current_principal_outstanding,days_past_due
H2YGVIK,2TPV1QQ,Term Loan,2019-03/10,276155653,2024/02/12,2024/02-12,66576.91,73
1DAIGFD,KMRGFAX,Equipment Financing,2019/03/31,109713460,2022-03-15,2022-03/15,1691.14,13
5IZF7U0,BQ93W8L,Working Capital,2019/03/20,418822540,2020/09-10,2020-09-10,129262.18,244
M68EQVN,TKJMU2X,Trade Financing,2019-03/18,101783898,2020/03-12,2020-03-12,6663.52,21
XLWSN1T,F88FUBR,Equipment Financing,2019-01/02,309285534,2019/12/28,2019-12-28,28908.98,5
EQKICOV,0YEKO4H,Trade Financing,2019/03-30,240227595,2019/11/16,2019-09-26,4595.61,1
NKB33DM,CZ4M1OZ,Term Loan,2019-03/09,297894629,2021/02/26,2021/02/26,40391.59,10
WDED36M,6ZBHERF,Term Loan,2019-02-17,463554904,2022-02/01,2022-02-01,217820.65,43
HB8CQ4J,4ZTAR2R,Term Loan,2019-02-12,259967873,2020-08/05,2020/08/05,112589.98,43
6PKCB3G,HSPH4QZ,Business Line of Credit,2019-03-01,234551795,2021/08/06,2021/02-18,13941.15,6
F2KJ0RD,7CSTUN2,Working Capital,2019-03-16,361886412,2020-02-02,2019-09-12,17253.77,1
JTWKH29,PQP8MKQ,Trade Financing,2019-01/15,231388166,2020-03-09,2020/01/10,32065.36,12
XBFBQGC,HDATZX0,Equipment Financing,2019-03/29,318180158,2022/03-13,2022-03/13,39195.97,2
77LIEQ1,MC15OLH,Equipment Financing,2019/01-11,313747899,2020/01-06,2020-01/06,12491.27,2
01OY1D4,HJ45R7P,Business Line of Credit,2019-03-27,174480470,2021-12/06,2021-03-16,9473.4,0
D7C1LJM,1BS09D3,Equipment Financing,2019-02-23,262797828,2022/02-07,2022/02/07,4858.42,4
PGUNX36,3QOVP8B,Equipment Financing,2019/03-13,120008845,2022/02/25,2022/02-25,16999.68,6
B0E1869,MIIUMCL,Business Line of Credit,2019/01/13,94280836,2020/09-02,2020-07/06,5547.85,2
VLFNRWT,BG6UUAD,Trade Financing,2019-01-08,232020390,2019/04-22,2019/07/07,14465.1,0
L36RNVU,0BTAYFQ,Working Capital,2019-03-06,212599569,2021-02-23,2021-02/23,18048.3,0
2B8TBK0,K3XS60C,Trade Financing,2019/02/10,372920228,2024/01/15,2024-01/15,46997.9,1
C2JNHBN,8HWPJMV,Business Line of Credit,2019-03/20,154169853,2020-09-10,2020-09-10,37984.77,31
7JHY0J9,3J6H1X7,Term Loan,2019-01/20,255280550,2021/04-24,2021-01-09,46947.95,50
1CFCDHL,N5P3S2D,Term Loan,2019/03/31,244595461,2022/03-15,2022-03/15,17557.83,3
WNGL3SG,CTQ6TDI,Equipment Financing,2019-02-26,109338809,2022/02/10,2022/02/10,14225.74,4
43TNOS4,YWWLP5B,Trade Financing,2019/03/06,320864601,2022-02-18,2022-02/18,36274.54,16
VC5MMZ8,G0M0ML8,Working Capital,2019-03-25,374479881,2021/01-09,2021/03-14,40680.25,16
XX8ELTE,IF62SGK,Working Capital,2019-02/12,384775266,2020/09-21,2021-02/01,263810.98,59
L068CE9,QQN4LC6,Working Capital,2019/01-14,98455522,2019-07-13,2019/07-13,13726.38,63
E2LCA0X,EOKHS6I,Working Capital,2019/02/02,342970702,2019-10-10,2020-01/28,23611.93,2
PVMS1UZ,NYX4ZMO,Business Line of Credit,2019-02-07,155726998,2020/07-31,2020/07/31,12654.94,7
83CPHOC,3R8JE5E,Term Loan,2019/01/23,342422105,2020-07-16,2020/07/16,19084.36,25
2J4M4B2,3G9EBHR,Trade Financing,2019-03/10,333998304,2020-08/31,2020-08-31,15315.48,15
I8XBBSK,VL0F208,Equipment Financing,2019/02-05,275745878,2024-01-10,2024-01-10,33145.75,12
OS7EV7V,8WJPFDC,Term Loan,2019/03-04,342724837,2021/01-18,2020-02/27,12811.33,4
S51149M,01MFEQC,Term Loan,2019-01-02,98175370,2019-12-28,2019/12/28,9387.56,0
ICIU7FA,3HYNR7B,Business Line of Credit,2019-02/22,332020513,2020-02-17,2020/02-17,12294.0,10
D6TE7NM,0ZFKZ6F,Trade Financing,2019-03/17,204111375,2021-03/06,2021/03-06,13178.68,17
2A1H8WR,TNQ641M,Trade Financing,2019-02/06,280332848,2019-08/05,2019-08/05,26667.64,87
N0ETRMN,U2HNK4B,Equipment Financing,2019/03-19,218843201,2020-06/05,2020/03/13,10257.84,5
XXTYQQ7,S5BBXCU,Business Line of Credit,2019-01/06,287488019,2020-06-29,2020/06/29,14334.05,1
FO496GS,C7QOE45,Business Line of Credit,2019-02/17,185163887,2021-02/06,2021/02/06,5100.97,1
BUU0O16,WXYWTCP,Trade Financing,2019/02/04,183584163,2022-01-19,2022-01-19,24225.67,5
NNBMC3R,AIZ189X,Equipment Financing,2019/01-17,146701079,2021/01-06,2021-01-06,17995.46,1
YD2A1O5,O00BUMG,Equipment Financing,2019-02/19,240348019,2020/01-18,2020/02-14,46208.04,70
BPTGAVJ,P485WJ7,Equipment Financing,2019/01/08,191134056,2020/01/03,2020-01/03,16864.01,11
UDC3ZIE,VMPB9WD,Term Loan,2019/01/23,268581508,2023-01/02,2023/01-02,29102.76,0
9PBOZ3B,OVBZ9US,Working Capital,2019/01-18,212613786,2022-01-02,2022/01/02,24997.9,66
YEJWAMZ,IJBL8OB,Business Line of Credit,2019/02/10,364657828,2020/10-11,2020-08-03,101842.86,38
YMUSHTH,J8LAJK7,Trade Financing,2019-03-06,325015872,2021/02-23,2021-02/23,9539.56,2
1R04PM2,N5WVDOU,Trade Financing,2019-01-24,252829427,2021-07-15,2022-01-08,43287.62,81
5UPX4VY,CA7PD2W,Equipment Financing,2019/01/15,233427841,2020/01-10,2020-01/10,9902.47,9
JO8Y0RE,S5N1GY0,Working Capital,2019/01-09,359491319,2019/07/08,2019-07-08,51398.3,30
4V15GAE,USUJXNP,Trade Financing,2019-02-27,116912954,2021/09-11,2022/02/11,4308.82,13
PRFQIWM,UZ4JGOO,Business Line of Credit,2019-03/11,323432803,2020-09/01,2020-09/01,52045.24,67
VEG7O85,7ON924T,Trade Financing,2019/03-28,102202872,2020/03/22,2020/03-22,2484.05,3
T942AT0,PLN0IVH,Trade Financing,2019-03/07,369688024,2020-08-28,2020-08/28,32039.8,4
X0CLGTO,H4CFGEQ,Equipment Financing,2019-02/27,505895521,2021/02/16,2021-02-16,229237.28,56
EAGE3A6,JDPO700,Trade Financing,2019-02-02,224380179,2021-01/22,2021/01-22,12455.14,5
TL9I6F5,5HGYN07,Term Loan,2019-02-04,126978363,2020-07-28,2020-07/28,9871.24,82
FYKYWZJ,U1BTPVL,Working Capital,2019-01-26,111539049,2022/01-10,2022-01/10,9065.81,5
7Z4XV00,10AC5NX,Business Line of Credit,2019/02-18,355122617,2022-02-02,2022/02/02,6862.38,10
XCSIVVP,FPQU1KI,Term Loan,2019/03-22,364728911,2020/06-13,2020/03-16,26702.29,11
NSXQB4Q,81T4WMU,Trade Financing,2019/02-12,263982830,2020-08-05,2020-08/05,183618.71,31
5D7EGY3,YTEJSS3,Business Line of Credit,2019-03-29,261166255,2021-03-18,2021/03/18,26602.14,0
6GVOHPA,KTVBK3X,Term Loan,2019-03-16,308729411,2021-02-03,2021/03-05,28830.93,3
YROZUV7,NIW9M76,Equipment Financing,2019/02/24,453943593,2021/08-31,2021/02/13,184808.94,54
