client_uuid,company_size,industry,subindustry,company_type,country,state,city,zip_code
1,small,manufacturing,Development,Corporation,PHILIPPINES,iloilo ,,1300
2,med,Telecommunications,N/A,Corporation,Philippines,Unknown,Samal,8100
3, Small,Import/Export,Automotive,Cooperative,Philippines,Cebu,Talisay,6015
4,Micro,Financial Services,Insurance,Corporation,,,QUEZON CITY,8002
5,Medium,Retail Trade, software,Partnership,Philippines,Iloilo,Kalibo,5600
6,Small,Financial Services,Money Exchange,Sole Proprietorship,Philippines,Cebu,Cebu City,6000
7,Medium,Manufacturing,Furniture,Partnership,N/A,Zamboanga,Dipolog,7016
8,Large,Education,Vocational,LLC,Philippines,Cebu,Lapu-Lapu,6038
9,Micro,Healthcare,Dental, LLC,Philippines,Davao,Tagum,8105
10,Medium,Education,TEXTILES,Sole Proprietorship,Philippines,Davao,Davao City,8002
11,Micro,Other,Car Rental,Sole Proprietorship,Philippines,Cebu,Mandaue,6000
12,Small,Education,N/A,Sole Proprietorship,Philippines,Iloilo,Roxas,5800
13, Small,,Car Rental,Sole Proprietorship,PH,metro manila,Makati,1740
14,Micro,Manufacturing,Textiles,N/A,PH,Zamboanga,Pagadian,7100
15,Medium,,grocery ,corporation,Philippines,Unknown,Dipolog,7100
16,Medium,food&beverage,Residential,Partnership,Philippines,iloilo , cebu city,7016
17,Medium,Telecommunications,Internet Provider,coop,Philippines,Unknown,Roxas,6100
18,MEDIUM,Telecommunications,Call Center,LLC,Pilipinas,Davao,Davao City,8119
19,med,Agriculture, software,Partnership,Philippines,Metro Manila,Pasay,1100
20,Micro,Retail Trade,Electronics Store,Corporation, Philippines,Metro Manila,Caloocan,1100
21,Micro,Construction,Renovation,Partnership,Philippines,Iloilo,Roxas,5600
22,Large,Transportation,Public Transport,Corporation,Philippines,CEBU,Samal,8100
23,Micro,Construction,Commercial,coop,,Cebu,,6045
24,Small,Telecommunications,Internet Provider,LLC,Philippines,Iloilo,Bacolod,6100
25,MEDIUM,,Rice Farming,Cooperative,Philippines,Metro Manila,Muntinlupa,1400
26,N/A,Technology,E-commerce,N/A,,Unknown,Unknown,1400
27,Small,Financial Services,Microfinance,Sole Proprietorship,Philippines,Iloilo,Roxas,5800
